"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"Pixar Chibi Scrapbook Collage – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/prompts/pixar-chibi-collage-1.webp","AI Prompts","","Turn one photo into a Pixar chibi scrapbook collage — 3D chibi poses with doodles and stickers. A copy-paste Gemini AI photo prompt for Nano Banana and ChatGPT.","https://freepromptbase.com/pixar-chibi-scrapbook-collage","","pixar chibi, chibi prompt, scrapbook collage, pixar style prompt, chibi collage, 3d chibi, ai photo prompt, photo collage prompt, gemini prompt"
"Back-Flash Night Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/prompts/back-flash-portrait-1.webp","AI Prompts","","Get the viral night-flash look: a glowing rim-light halo, lens flare, and grainy candid mood. A free Gemini AI photo prompt to copy, paste, and run in Nano Banana.","https://freepromptbase.com/back-flash-night-portrait","","portrait, night, flash, iphone aesthetic, instagram, reel"
"World Cup Football Poster – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/prompts/football-poster-1.webp","AI Prompts","","Make a cinematic World Cup poster — two players back-to-back, neon flags, smoky stadium haze. A copy-paste Gemini AI photo prompt for Nano Banana and ChatGPT.","https://freepromptbase.com/cinematic-football-world-cup-poster","","football poster prompt, world cup poster, cinematic poster prompt, football prompt, sports poster prompt, world cup football, ai poster prompt, gemini prompt, 4k poster prompt"
"Hand-Drawn Doodle Overlay – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/prompts/doodle-overlay-1.webp","AI Prompts","","Add playful doodles, motion lines, and captions that react to your subject. A free Gemini AI photo prompt — copy, paste your photo, and run it in Nano Banana or ChatGPT.","https://freepromptbase.com/hand-drawn-doodle-overlay","","photo overlay, doodle, social media, chatgpt, gemini"
"Aesthetic Meadow Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/QFsGQUqJfQJTsx00EeSAZ.webp","AI Prompts","","A dreamy young man in a flower meadow under soft afternoon light. Copy this aesthetic Gemini AI photo prompt and recreate it in Nano Banana, ChatGPT, or Midjourney.","https://freepromptbase.com/aesthetic-portrait-prompt","","aesthetic portrait prompt, men portrait prompt, aesthetic prompt, dreamy portrait, outdoor portrait, prompt, flower meadow portrait, pastel aesthetic, ai image prompt, portrait photography prompt"
"Fisheye Floating Photo – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/uhLCobWCf5VgfVoZpzaGv.webp","AI Prompts","","Float above a field of flowers, shot worm's-eye through a floral tunnel. A surreal Gemini AI photo prompt for Nano Banana, ChatGPT, and Midjourney — copy and paste.","https://freepromptbase.com/fisheye-floating-photo-prompt","","fisheye prompt, floating photo prompt, levitation prompt, surreal photo prompt, worm eye view, floral tunnel, cinematic prompt, midjourney prompt, ai photo prompt"
"Beach Couple Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/pdTJSSypcOgFD00YROz26-w.webp","AI Prompts","","A couple holding red roses on a beach, finished with elegant name typography. Free Gemini couple photo prompt — paste your photo and edit in Nano Banana or ChatGPT.","https://freepromptbase.com/beach-couple-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, couple prompt, wedding prompt"
"Photographer Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/CpCUGRfRWtknm6oFhZd2Z.webp","AI Prompts","","A stylish young man holding a camera in a cinematic city scene. Paste your photo into this Gemini AI photo prompt and edit it in Nano Banana — copy, paste, done.","https://freepromptbase.com/photographer-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, lifestyle prompt"
"B&W Suit Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/GNhEBb4sLfrWzclHpVNeK.webp","AI Prompts","","Dramatic high-contrast studio portrait of a bearded man in a tailored suit. Copy-paste this Gemini AI photo prompt into Nano Banana — no editing skills required.","https://freepromptbase.com/black-and-white-suit-portrait","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, cinematic prompt"
"Valentine's Day Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/MAMFHC5V9ElXzfREiqgsz.webp","AI Prompts","","A romantic couple inside a golden glowing circle with neon text and floating hearts. Free Gemini couple photo prompt — add your photo and edit in Nano Banana.","https://freepromptbase.com/valentines-day-couple-prompt","","ai photo prompt, gemini prompt, portrait prompt, couple prompt, festival prompt"
